Nombre_Obra,Actividad_Partida,Unidad_Control,Rendimiento_Meta,Cantidad_Presupuestada,Costo por Día
Estanque Panamericana,Pilas de grava,UND,20,200,
FEP Talcahuano,Helical Pile,und,10,276,0
